OID_	year_of_aff	BA	Grids	agb	Afforest	Deforest	2020pnf	Disturb
4848789	2	0.816369394	730	25	2003	0	33	0
4848790	2	0.524154985	730	51.2	2003	0	-9999	0
4848791	2	0.548463522	730	51.8	2003	0	-9999	0
4848792	2	0.702141177	730	2.2	2003	0	-9999	0
4848793	2	0.555903278	730	52.4	2003	0	-9999	0
4848794	2	0.586676196	730	8.1	2001	0	-9999	0
4848795	2	0.600397577	730	22.5	2003	0	2	0
4848796	2	0.52904594	730	24.1	2001	0	33	0
4848797	2	0.520438605	730	62.6	2003	0	-9999	0
4848798	2	0.530456315	730	5.9	2002	0	2	0
4848799	2	0.540333394	730	4.5	2003	0	33	0
4848801	2	0.563110161	730	52.5	2003	0	-9999	0
4848802	2	0.75338053	730	37.8	2003	0	-9999	0
4848803	2	0.547942965	730	35.6	2003	0	-9999	0
4848804	2	0.58530282	730	27	2001	0	-9999	0
4848810	2	0.610090901	730	27.7	2003	0	2	0
4848811	2.0009999	0.539828125	730	62.9	2004	0	-9999	0
4848812	2.0009999	0.588124678	730	30.1	2004	0	-9999	0
4848815	2.0009999	0.884372049	730	35.1	2004	0	2	0
4848816	2.0009999	0.556597454	730	29.8	2004	0	2	0
4848817	2.0009999	0.565937267	730	13	2003	0	2	0
4848818	2.0009999	0.578679769	730	79.5	2004	0	2	0
4848819	2.0009999	0.647076955	730	34.6	2004	0	33	0
4848820	2.0009999	0.580463322	730	46.3	2006	0	2	0
4848821	2.0009999	0.502087537	730	59	2003	0	-9999	0
4848823	2.0009999	0.765683339	730	17	2004	0	-9999	0
4848825	2.0009999	0.850944942	730	2.5	2004	0	-9999	0
4848826	2.0009999	0.731778694	730	27.9	2006	0	-9999	0
4848827	2.0009999	0.718513959	730	3.8	2004	0	2	0
4848828	2.0009999	0.500519065	730	1.9	2004	0	-9999	0
4848829	2.0020001	0.587581494	730	17.4	2004	0	2	0
4848830	2.0020001	0.811202927	730	102.2	2005	0	2	0
4848831	2.0020001	0.719532902	730	14.6	2005	0	-9999	0
4848832	2.0020001	0.52302613	730	47	2008	0	2	0
