OID_,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,PCT95,PCT100
64,65,7283.000000000000000,0.000528944855107,1,641,640,107.248661265999999,85.723321235900002,781092.000000000000000,343,72,232,93,189,265,641
65,66,1259.000000000000000,0.000091437810323,3,391,388,104.235107228000004,54.397986286600002,131232.000000000000000,199,114,3,96,171,208,391
66,67,36017.000000000000000,0.002615818597610,1,1121,1120,246.083682705000001,210.297529962999988,8863196.000000000000000,749,110,239,150,572,637,1121
67,68,464735.000000000000000,0.033752462891400,1,2728,2727,250.551178628999992,209.603314084999994,116439902.000000000000000,1258,107,1019,185,524,643,2728
68,69,903547.000000000000000,0.065622207469000,1,2666,2665,224.403457706000012,248.085679260000006,202759071.000000000000000,1414,125,1852,136,559,849,2666
69,70,4124181.000000000000000,0.299528260535000,1,4242,4241,566.382044338000014,461.301166018000004,2335862066.000000000000000,2896,109,2562,463,1201,1385,4242
70,71,4922959.000000000000000,0.357541375113000,1,5965,5964,1162.272681729999931,760.291609683000047,5721820759.000000000000000,4318,686,4240,987,2374,2572,5965
71,72,31802.000000000000000,0.002309694395450,2,3055,3053,923.115936104999946,569.129249541000036,29356933.000000000000000,1969,1110,9,880,1723,1988,3055
72,73,12081.000000000000000,0.000877410791507,1,639,638,107.944789338999996,88.863489816699996,1304081.000000000000000,402,22,265,94,222,271,639
73,74,23280.000000000000000,0.001690764276660,1,1653,1652,178.525042955000004,143.527471327999990,4156063.000000000000000,658,60,411,139,381,465,1653
74,75,955114.000000000000000,0.069367381071000,1,2834,2833,627.301569236999967,452.803648291999991,599144511.000000000000000,2300,76,1932,568,1264,1481,2834
75,76,6855.000000000000000,0.000497860357237,1,996,995,155.061269146999990,150.261716863000004,1062945.000000000000000,473,51,189,99,390,457,996
76,77,4893.000000000000000,0.000355365532890,1,717,716,185.810954425000006,147.938443220000011,909173.000000000000000,324,84,6,130,447,524,717
77,78,15560.000000000000000,0.001130081277700,1,1274,1273,137.026413882000014,116.647935063999995,2132131.000000000000000,486,78,291,101,307,387,1274
78,79,2380957.000000000000000,0.172922553258000,1,3664,3663,455.148577651999972,506.347633674000008,1083689192.000000000000000,2868,124,2796,215,1149,1576,3664
79,80,2734030.000000000000000,0.198565303063000,1,4183,4182,616.690362577999963,529.998939681000024,1686049952.000000000000000,2983,109,2673,512,1311,1621,4183
80,81,4794857.000000000000000,0.348237668697000,1,5420,5419,946.877827638999975,583.615950161000001,4540143780.000000000000000,4291,824,3131,880,1583,1880,5420
81,82,5787.000000000000000,0.000420294367225,2,3173,3171,563.977017453000030,477.425395336000008,3263735.000000000000000,979,131,2,385,1214,1336,3173
82,83,10431.000000000000000,0.000757575694579,1,1151,1150,133.756015722000001,85.046305804300005,1395209.000000000000000,396,101,308,116,245,298,1151
83,84,544432.000000000000000,0.039540643327700,1,3302,3301,552.022188261999986,516.680306505999965,300538544.000000000000000,2318,88,2075,336,1338,1500,3302
84,85,42531.000000000000000,0.003088913034810,1,876,875,65.903247043299999,65.409402233799995,2802931.000000000000000,354,1,311,52,145,192,876
85,86,5424.000000000000000,0.000393930645901,1,757,756,102.165929203999994,76.736810604300004,554148.000000000000000,276,38,211,87,186,221,757
86,87,91016.000000000000000,0.006610249201210,1,2073,2072,156.293530808000014,163.514434101000006,14225212.000000000000000,753,85,760,112,355,514,2073
87,88,2174588.000000000000000,0.157934523490000,1,4090,4089,629.701768334999997,594.134257756000011,1369341909.000000000000000,3039,130,2915,487,1509,1911,4090
88,89,1643835.000000000000000,0.119387349429000,1,4102,4101,506.087932183000021,451.906807019999974,831925056.000000000000000,2523,104,2590,375,1103,1326,4102
89,90,5354987.000000000000000,0.388918415874000,1,4851,4850,1070.977210589999913,636.348778934000052,5735069040.000000000000000,4302,889,3786,987,1780,2223,4851
90,91,382544.000000000000000,0.027783149890400,1,3286,3285,700.825369108000018,572.718540407999967,268096540.000000000000000,2475,83,2909,588,1470,1720,3286
